year_month,delta_subs
2015-06,223.25
2015-07,1462.6833333333334
2015-08,10719.233333333335
2015-09,39230.70833333333
2015-10,46842.5110103627
2015-11,43082.09060127252
2015-12,2799.9025168593435
2016-01,5821.761781470778
2016-02,62195.437550176626
2016-03,54368.52166463667
2016-04,107800.06660198062
2016-05,251753.0905280095
2016-06,351044.3100612965
2016-07,512269.4268437039
2016-08,1099695.58149737
2016-09,1011039.2012277114
2016-10,6176326.8600012455
2016-11,8557100.360525966
2016-12,8031369.179391678
2017-01,11080477.282585256
2017-02,8479652.266918277
2017-03,9178763.5671922
2017-04,11482578.384182515
2017-05,13148187.42484889
2017-06,12164584.848070864
2017-07,14264918.140838929
2017-08,12165362.282101315
2017-09,11501794.26048775
2017-10,14540774.439209936
2017-11,12043945.378811054
2017-12,16820079.624848057
2018-01,17108311.98491707
2018-02,17797019.65084737
2018-03,18952360.221591946
2018-04,24533950.67335793
2018-05,20288307.16064559
2018-06,25316896.97113844
2018-07,33517906.390379544
2018-08,24213810.24831989
2018-09,21987239.30281104
2018-10,28123766.853775848
2018-11,22480922.780508906
2018-12,25825155.41264104
2019-01,23060177.410484716
2019-02,22307427.96339054
2019-03,25643869.216172162
2019-04,31851695.564377114
2019-05,25644482.53505841
2019-06,26634554.405880783
2019-07,30081452.284340538
2019-08,22479151.70342766
2019-09,25090689.70967151
